cme_id,cme_date,cme_pa,cme_width,harpnum,LONDTMIN,LONDTMAX,LATDTMIN,LATDTMAX,flare_id,dimming_id,verification_score
20110930171205016,2011-09-30 17:12:05,16.0,71.0,902,-19.845301,1.4876,6.9786,17.6707,,4855.0,5.0
20111001012554015,2011-10-01 01:25:54,15.0,241.0,902,-15.2269,6.1059,6.9786,17.6707,,4857.0,5.0
20111002221207287,2011-10-02 22:12:07,287.0,66.0,902,10.0048,31.337601,6.9786,17.6707,2576.0,,2.0
20111007074806268,2011-10-07 07:48:06,268.0,11.0,902,69.479599,90.0,6.9786,17.6707,2595.0,,4.0
20110830101207270,2011-08-30 10:12:07,270.0,43.0,803,35.618099,60.167801,14.3606,24.0158,2342.0,,4.0
20120405212507999,2012-04-05 21:25:07,,360.0,1528,20.126499,42.2714,9.94,20.562799,,5455.0,5.0
20120407192405273,2012-04-07 19:24:05,273.0,114.0,1528,45.921001,68.065903,9.94,20.562799,,5457.0,5.0
20120408012528266,2012-04-08 01:25:28,266.0,161.0,1528,49.2855,71.430397,9.94,20.562799,3540.0,,4.0
20120831200005999,2012-08-31 20:00:05,,360.0,1996,-70.066399,-38.445999,-31.0735,-22.932899,,5964.0,5.0
20141213054805056,2014-12-13 05:48:05,56.0,77.0,4941,-90.0,-75.194801,-15.706,-5.4568,9475.0,,2.0
20141217020005107,2014-12-17 02:00:05,107.0,108.0,4941,-46.1973,-23.1703,-15.706,-5.4568,9514.0,8480.0,1.0
20141221121205999,2014-12-21 12:12:05,,360.0,4941,13.7268,36.753799,-15.706,-5.4568,,8567.0,5.0
20141224032405255,2014-12-24 03:24:05,255.0,42.0,4941,49.387901,72.414902,-15.706,-5.4568,9568.0,,4.0
20160501110005047,2016-05-01 11:00:05,47.0,29.0,6523,-43.583199,-21.5154,13.0575,24.2988,12201.0,,4.0
20110808181207305,2011-08-08 18:12:07,305.0,237.0,753,53.183201,79.880402,13.4367,22.6975,2221.0,,2.0
20110808231205284,2011-08-08 23:12:05,284.0,74.0,753,55.976101,82.673302,13.4367,22.6975,2224.0,,2.0
20110809081206999,2011-08-09 08:12:06,,360.0,753,61.003502,87.700699,13.4367,22.6975,2228.0,,2.0
20110810134806307,2011-08-10 13:48:06,307.0,30.0,753,77.537903,90.0,13.4367,22.6975,2237.0,,4.0
20110215022405999,2011-02-15 02:24:05,,360.0,377,2.2158,24.537001,-26.7276,-15.4262,1194.0,4452.0,1.0
20150421103605021,2015-04-21 10:36:05,21.0,191.0,5446,70.654404,90.0,7.6893,18.1709,10278.0,,4.0
20121205003605066,2012-12-05 00:36:05,66.0,231.0,2262,-90.0,-72.545403,6.0196,16.6583,5135.0,6205.0,3.0
20121127023605999,2012-11-27 02:36:05,,360.0,2227,17.319901,43.9174,-17.9503,-8.759,5062.0,,2.0
20121127083605285,2012-11-27 08:36:05,285.0,76.0,2227,20.695499,47.292999,-17.9503,-8.759,5064.0,,4.0
20111005091209138,2011-10-05 09:12:09,138.0,88.0,932,-86.510101,-68.410004,-23.6474,-9.8683,2582.0,,4.0
20111013134806251,2011-10-13 13:48:06,251.0,52.0,932,23.777599,41.877701,-23.6474,-9.8683,2634.0,,4.0
20111015121205271,2011-10-15 12:12:05,271.0,57.0,932,49.806801,67.906998,-23.6474,-9.8683,2650.0,4911.0,3.0
20120224034602341,2012-02-24 03:46:02,341.0,189.0,1410,-1.1907505,17.6253505,9.46125,22.805750000000003,,5363.0,5.0
20120806083606069,2012-08-06 08:36:06,69.0,56.0,1930,-90.0,-77.980598,-22.027901,-8.6369,4398.0,,2.0
20120814031208249,2012-08-14 03:12:08,249.0,40.0,1930,7.7544,26.700001,-22.027901,-8.6369,4452.0,5928.0,3.0
20110331022406057,2011-03-31 02:24:06,57.0,28.0,451,-39.450199,-17.010599,9.9392,21.2841,1553.0,,4.0
20170601021205089,2017-06-01 02:12:05,89.0,59.0,7034,-90.0,-71.453796,1.2505,12.0626,13410.0,,2.0
20170601054805080,2017-06-01 05:48:05,80.0,36.0,7034,-90.0,-69.416199,1.2505,12.0626,13411.0,,4.0
20170601082405087,2017-06-01 08:24:05,87.0,59.0,7034,-90.0,-67.944603,1.2505,12.0626,13412.0,,4.0
20170611023605275,2017-06-11 02:36:05,275.0,53.0,7034,41.766998,64.6119,1.2505,12.0626,13472.0,,4.0
20160323042404336,2016-03-23 04:24:04,336.0,87.0,6437,-8.1293,16.6402,10.2653,20.5616,12035.0,,4.0
20130513100005094,2013-05-13 10:00:05,94.0,62.0,2748,-90.0,-78.480202,5.9581,16.6465,6022.0,,4.0
20130513160755999,2013-05-13 16:07:55,,360.0,2748,-90.0,-74.984398,5.9581,16.6465,6026.0,,2.0
20130514012551999,2013-05-14 01:25:51,,360.0,2748,-90.0,-69.796997,5.9581,16.6465,6030.0,,2.0
20130515014805999,2013-05-15 01:48:05,,360.0,2748,-79.643898,-56.039101,5.9581,16.6465,,7307.0,5.0
20130517091210999,2013-05-17 09:12:10,,360.0,2748,-48.4067,-24.8018,5.9581,16.6465,6045.0,7344.0,1.0
20130518042407074,2013-05-18 04:24:07,74.0,34.0,2748,-37.580799,-13.9759,5.9581,16.6465,6046.0,7358.0,1.0
20170823005132051,2017-08-23 00:51:32,51.0,128.0,7110,-59.438999,-38.667301,1.0655,13.0832,13760.0,,4.0
20170828173605246,2017-08-28 17:36:05,246.0,117.0,7110,17.9617,38.733299,1.0655,13.0832,13801.0,9031.0,3.0
20170830164805277,2017-08-30 16:48:05,277.0,56.0,7110,44.667198,65.438797,1.0655,13.0832,13820.0,,4.0
20110307144836354,2011-03-07 14:48:36,354.0,261.0,401,-32.258499,-10.2671,3.8568,15.3188,,4483.0,5.0
20110312163605285,2011-03-12 16:36:05,285.0,15.0,401,36.534599,58.526001,3.8568,15.3188,1454.0,4506.0,1.0
20110314042407279,2011-03-14 04:24:07,279.0,46.0,401,56.754601,78.745903,3.8568,15.3188,1468.0,,4.0
20160709163606056,2016-07-09 16:36:06,56.0,56.0,6666,-84.121201,-60.538502,5.3004,16.0812,12421.0,,4.0
20160710012544073,2016-07-10 01:25:44,73.0,101.0,6666,-79.157097,-55.574402,5.3004,16.0812,12423.0,8958.0,1.0
20150807203604127,2015-08-07 20:36:04,127.0,125.0,5848,-15.3805,11.0697,-22.663401,-12.6848,10801.0,,2.0
20150808001206121,2015-08-08 00:12:06,121.0,224.0,5848,-13.3684,13.0818,-22.663401,-12.6848,10804.0,,4.0
20150813021204320,2015-08-13 02:12:04,320.0,137.0,5848,54.820801,81.271103,-22.663401,-12.6848,10822.0,,4.0
20120818033605061,2012-08-18 03:36:05,61.0,143.0,1946,-90.0,-78.741798,12.8293,25.637699,4477.0,,2.0
20120818084806056,2012-08-18 08:48:06,56.0,36.0,1946,-90.0,-75.842903,12.8293,25.637699,4479.0,,4.0
20120818101205037,2012-08-18 10:12:05,37.0,78.0,1946,-90.0,-75.0625,12.8293,25.637699,4481.0,,4.0
20120818123605041,2012-08-18 12:36:05,41.0,48.0,1946,-90.0,-73.724602,12.8293,25.637699,4482.0,,4.0
20120818144805044,2012-08-18 14:48:05,44.0,105.0,1946,-90.0,-72.4981,12.8293,25.637699,4488.0,,2.0
20120818162406044,2012-08-18 16:24:06,44.0,126.0,1946,-90.0,-71.606201,12.8293,25.637699,4490.0,,2.0
20120818211209093,2012-08-18 21:12:09,93.0,100.0,1946,-90.0,-68.930298,12.8293,25.637699,4494.0,,4.0
20120818233605020,2012-08-18 23:36:05,20.0,118.0,1946,-88.702904,-67.5924,12.8293,25.637699,4498.0,,2.0
